,Chris,Karl,Sarah,Max Prob,Mean
0,0.07151857199222302,0.07064191000280136,0.07032335911253344,Chris,0.0708279470358526
1,0.06980001432728315,0.06741944317433242,0.06770926271185201,Chris,0.06830957340448919
2,0.07030333582436335,0.0689588640315349,0.07055190130620215,Sarah,0.06993803372070014
3,0.07107942099936232,0.06984534984422708,0.07120973342623918,Sarah,0.07071150142327619
4,0.07235503377261744,0.06942048811885126,0.07134684262986392,Chris,0.07104078817377753
5,0.07035371184697334,0.06973488914398361,0.06941633825371571,Chris,0.06983497974822421
6,0.0772293310964988,0.07069452103824342,0.07218246392453102,Chris,0.07336877201975774
7,0.07192672809687793,0.07063006642102954,0.07194532591791902,Sarah,0.07150070681194216
8,0.07289073824763806,0.07113503729697337,0.07249942087898549,Chris,0.0721750654745323
9,0.06890900149042131,0.06906913107930598,0.06762418659352486,Karl,0.06853410638775072
10,0.07048864788032275,0.0702750620468556,0.0693828292488554,Chris,0.07004884639201125
11,0.0716053450884008,0.0705608983243409,0.0704205665515384,Chris,0.07086226998809336
12,0.07044175895697752,0.06909728716414906,0.0706903244388163,Sarah,0.0700764568533143
13,0.07089257784953663,0.0702737551465469,0.069955204256279,Chris,0.07037384575078752
14,0.06549632041427492,0.06292013097977882,0.06459156992545086,Chris,0.06433600710650152
15,0.06795676691847113,0.06706255557510325,0.06669488059971265,Chris,0.06723806769776235
16,0.08155117313819524,0.08113442160095165,0.08517736132782903,Sarah,0.08262098535565865
17,0.06970149253359333,0.0710911209048952,0.06680479283162308,Karl,0.06919913542337054
18,0.06573963611987964,0.06344122446316129,0.06483488563105556,Chris,0.06467191540469884
19,0.06841241503288832,0.06900568518995104,0.06715761545555332,Karl,0.06819190522613089
20,0.07185771760132052,0.07194622250443082,0.07349645717870319,Sarah,0.07243346576148485
21,0.08692546668873667,0.08837643027551075,0.0891363646242047,Sarah,0.0881460871961507
22,0.07581584231630212,0.07975768575745606,0.07640355722651644,Karl,0.07732569510009153
23,0.06582461466984123,0.06547554122899348,0.06454721187833763,Chris,0.06528245592572411
24,0.06800042586022109,0.06752233910750531,0.06651901641241663,Chris,0.06734726046004769
25,0.07426401516159335,0.07349269845519991,0.07428261298263444,Sarah,0.0740131088664759
26,0.07109910703036725,0.06997058123973415,0.07286058071777278,Sarah,0.07131008966262474
27,0.06909812340769822,0.06771218659853806,0.06734905046855676,Chris,0.06805312015826435
28,0.06727374076983011,0.06598802183049055,0.06656356255085376,Chris,0.06660844171705814
29,0.07601163109208418,0.06924578656163963,0.07064586436510295,Chris,0.07196776067294225
30,0.07931250937029424,0.07254209327755809,0.07361317747114741,Chris,0.07515592670633325
31,0.07258659028588961,0.07062464481851673,0.07221541090275098,Chris,0.07180888200238578
32,0.0739122580912238,0.07472104681197536,0.07320838869714712,Karl,0.07394723120011543
33,0.07106335998736922,0.07176245557370514,0.06986814710767966,Karl,0.07089798755625135
34,0.07244047832495605,0.07116136600305388,0.07252574958506601,Sarah,0.07204253130435866
35,0.0778259175559033,0.07051128438103724,0.07233481569410326,Chris,0.07355733921034795
36,0.0684943802890591,0.06742074899596665,0.06776763602367473,Chris,0.06789425510290016
37,0.06950570211388829,0.06828534264547505,0.06835445189540534,Chris,0.06871516555158956
38,0.07401932288818153,0.07239720088978602,0.0734875759791988,Chris,0.07330136658572212
39,0.07542185411022558,0.07951042572670035,0.07615629719576071,Karl,0.07702952567756222
40,0.07175325695255627,0.0697913114851834,0.07138207756941763,Chris,0.07097554866905242
41,0.0655812989642365,0.06495444774561099,0.06430389617273291,Chris,0.0649465476275268
42,0.07084966597089558,0.06997794702897017,0.06965939613870226,Chris,0.07016233637952267
